Density(P/Km2);Birth Rate;Co2-Emissions;CPI;CPI Change (%);Fertility Rate;GDP;Infant mortality;Life expectancy;Maternal mortality ratio;Out of pocket health expenditure;Physicians per thousand;Population;Population: Labor force participation (%);Unemployment rate;
225;19,51;25,258;135,5;1,80%;2,35;88941298258;24,1;73,9;95;43,70%;1,56;10738958;64,30%;5,84%;
71;19,72;41,155;124,14;0,30%;2,43;1,07436E+11;12,2;76,8;59;43,70%;2,04;17373662;68,00%;3,97%;
103;26,38;238,56;288,57;9,20%;3,33;3,03175E+11;18,1;71,8;37;62,00%;0,45;100388073;46,40%;10,76%;
313;18,25;7,169;111,23;0,10%;2,04;27022640000;11,8;73,1;46;27,90%;1,57;6453553;59,10%;4,11%;
50;33,24;5,655;124,35;1,20%;4,51;11026774945;62,6;58,4;301;72,00%;0,4;1355986;62,00%;6,43%;
35;30,3;711;125,34;2,30%;4,06;2065001626;31,3;65,9;480;52,40%;0,06;6333135;78,40%;5,14%;
31;10,9;16,59;122,14;2,30%;1,59;31386949981;2,1;78,2;9;22,80%;4,48;1331824;63,60%;5,11%;
67;20,21;37,5775;125,34;2,30%;2,69;3791304348;21,33;72,3;53;11,30%;1,84;1093238;62,70%;7,91%;
115;32,34;14,87;143,86;15,80%;4,25;96107662398;39,1;66,2;401;37,80%;0,08;112078730;79,60%;2,08%;
49;21,28;2,046;132,3;1,80%;2,77;5535548972;21,6;67,3;34;21,40%;0,84;889953;57,60%;4,10%;
18;8,6;45,871;112,33;1,00%;1,41;2,68761E+11;1,4;81,7;3;19,90%;3,81;5520314;59,10%;6,59%;
119;11,3;303,276;110,05;1,10%;1,88;2,71552E+12;3,4;82,5;8;6,80%;3,27;67059887;55,10%;8,43%;
9;31,61;5,321;122,19;2,10%;3,97;16657960228;32,7;66,2;252;25,90%;0,68;2172579;52,90%;2,00%;
239;38,54;532;172,73;7,10%;5,22;1763819048;39;61,7;597;20,30%;0,1;2347706;59,40%;9,06%;
57;13,47;10,128;133,61;4,90%;2,06;17743195770;8,7;73,6;25;57,30%;7,12;3720382;68,30%;14,40%;
240;9,5;727,973;112,85;1,40%;1,56;3,84563E+12;3,1;80,9;7;12,50%;4,25;83132799;60,80%;3,04%;
137;29,41;16,67;268,36;7,20%;3,87;66983634224;34,9;63,8;308;36,10%;0,14;30792608;67,80%;4,33%;
81;8,1;62,434;101,87;0,20%;1,35;2,09853E+11;3,6;81,3;3;35,50%;5,48;10716322;51,80%;17,24%;
331;16,47;268;107,43;0,80%;2,06;1228170370;13,7;72,4;25;57,00%;1,41;112003;62,70%;7,91%;
167;24,56;16,777;142,92;3,70%;2,87;76710385880;22,1;74,1;95;55,80%;0,35;16604026;62,30%;2,46%;
53;36,36;2,996;262,95;9,50%;4,7;13590281809;64,9;61,2;576;54,50%;0,08;12771246;61,50%;4,30%;
70;35,13;293;111,65;1,40%;4,48;1340389411;54;58;667;37,20%;0,13;1920922;72,00%;2,47%;
4;19,97;2,384;116,19;2,10%;2,46;4280443645;25,1;69,8;169;40,50%;0,8;782766;56,20%;11,85%;
414;24,35;2,978;179,29;12,50%;2,94;8498981821;49,5;63,7;480;36,30%;0,23;11263077;67,20%;13,78%;
2,003;20,21;37,5775;125,34;2,30%;2,69;34387229486;21,33;72,3;53;33,12%;1,84;836;62,70%;7,91%;
89;21,6;9,813;150,34;4,40%;2,46;25095395475;15,1;75,1;65;49,10%;0,31;9746117;68,80%;5,39%;
107;9,6;45,537;121,64;3,30%;1,54;1,60967E+11;3,6;75,8;12;29,00%;3,41;9769949;56,50%;3,40%;
3;12;2,065;129;3,00%;1,71;24188035739;1,5;82,7;4;17,00%;4,08;361313;75,00%;2,84%;
464;17,86;2407,672;180,44;7,70%;2,22;2,611E+12;29,9;69,4;145;65,10%;0,86;1366417754;49,30%;5,36%;
151;18,07;563,325;151,18;3,00%;2,31;1,11919E+12;21,1;71,5;177;48,30%;0,43;270203917;67,50%;4,69%;
